Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,PrT,2018-08-15,PrT2,Stylophora pistillata,SAU,22.26302,39.05165,PrT2-39,2018-08-15,Wild,39,420,0.102,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT3,Stylophora pistillata,SAU,22.26302,39.05165,PrT3-39,2018-08-15,Wild,39,420,0.105,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT4,Stylophora pistillata,SAU,22.26302,39.05165,PrT4-39,2018-08-15,Wild,39,420,0.138,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT5,Stylophora pistillata,SAU,22.26302,39.05165,PrT5-39,2018-08-15,Wild,39,420,0.177,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT6,Stylophora pistillata,SAU,22.26302,39.05165,PrT6-39,2018-08-15,Wild,39,420,0.026,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT7,Stylophora pistillata,SAU,22.26302,39.05165,PrT7-39,2018-08-15,Wild,39,420,0.184,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ICN,2018-08-20,ICN1,Stylophora pistillata,ISR,29.5,34.93333,ICN1-30,2018-08-20,Wild,30,420,0.603,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ICN,2018-08-20,ICN2,Stylophora pistillata,ISR,29.5,34.93333,ICN2-30,2018-08-20,Wild,30,420,0.549,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ICN,2018-08-20,ICN3,Stylophora pistillata,ISR,29.5,34.93333,ICN3-30,2018-08-20,Wild,30,420,0.6,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ICN,2018-08-20,ICN4,Stylophora pistillata,ISR,29.5,34.93333,ICN4-30,2018-08-20,Wild,30,420,0.431,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ICN,2018-08-20,ICN5,Stylophora pistillata,ISR,29.5,34.93333,ICN5-30,2018-08-20,Wild,30,420,0.596,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ICN,2018-08-20,ICN6,Stylophora pistillata,ISR,29.5,34.93333,ICN6-30,2018-08-20,Wild,30,420,0.59,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
